"","alpha","b_mkt","b_smb","b_hml","ivol","tvol","exret","exret_sq","Direction"
"1",4e-04,0.9282,-0.2337,-0.0669,0.007747,0.009945,0.005005,0.0003932289,"1"
"2",4e-04,0.9276,-0.2201,-0.0661,0.007783,0.009977,0.01983,0.000293985316,"1"
"3",5e-04,0.9239,-0.2423,-0.0454,0.007853,0.010012,0.017146,2.4552025e-05,"1"
"4",5e-04,0.9287,-0.2368,-0.0346,0.00781,0.010007,0.004955,0.000266505625,"1"
"5",5e-04,0.9289,-0.2375,-0.0425,0.007874,0.010052,0.016325,0.000587335225,"0"
"6",4e-04,0.9279,-0.248,0.0061,0.008023,0.010178,-0.024235,7.8287104e-05,"1"
"7",4e-04,0.9278,-0.2336,-0.0268,0.008038,0.010175,0.008848,1.936e-07,"1"
"8",4e-04,0.9275,-0.2337,-0.0184,0.008033,0.010206,0.00044,5.8186384e-05,"0"
"9",4e-04,0.9198,-0.2317,-0.0032,0.008045,0.010205,-0.007628,3.2547025e-05,"0"
"10",4e-04,0.9184,-0.2321,-0.0077,0.008051,0.010204,-0.005705,5.755201e-06,"0"
"11",4e-04,0.9181,-0.2366,0.0048,0.008047,0.010203,-0.002399,0.000108513889,"1"
"12",3e-04,0.9068,-0.253,0.0188,0.007939,0.010069,0.010417,1.5264649e-05,"0"
"13",3e-04,0.9053,-0.2567,0.0227,0.007926,0.010052,-0.003907,1.9518724e-05,"0"
"14",2e-04,0.9054,-0.2627,0.0045,0.007918,0.010035,-0.004418,6.70761e-07,"1"
"15",3e-04,0.9069,-0.2705,-0.0019,0.0079,0.010038,0.000819,5.7244356e-05,"0"
"16",2e-04,0.923,-0.2793,-0.0157,0.007881,0.010163,-0.007566,3.61e-08,"1"
"17",2e-04,0.9269,-0.2834,-0.0252,0.00787,0.010166,0.00019,1.6144324e-05,"0"
"18",2e-04,0.9266,-0.2882,-0.0281,0.007871,0.010166,-0.004018,1.5689521e-05,"0"
"19",2e-04,0.9307,-0.2883,-0.0316,0.007874,0.010202,-0.003961,8.51929e-07,"1"
"20",2e-04,0.9313,-0.2853,-0.0333,0.007874,0.010224,0.000923,4.227136e-06,"0"
"21",2e-04,0.9332,-0.2882,-0.0323,0.007875,0.010238,-0.002056,0.000141419664,"0"
"22",1e-04,0.9554,-0.2773,-0.0495,0.007908,0.010448,-0.011892,0.000771783961,"0"
"23",0,0.9346,-0.2599,-0.0381,0.008097,0.010489,-0.027781,0.000472019076,"1"
"24",1e-04,0.9346,-0.2922,-0.0235,0.00821,0.010546,0.021726,0.000152399025,"0"
"25",0,0.9207,-0.2701,-0.0311,0.008244,0.010545,-0.012345,5.968249e-06,"1"
"26",1e-04,0.9233,-0.2738,-0.0378,0.008243,0.01058,0.002443,7.049025e-06,"1"
"27",1e-04,0.9228,-0.2729,-0.0411,0.008244,0.010574,0.002655,1.752976e-06,"1"
"28",1e-04,0.9247,-0.2747,-0.0454,0.008242,0.010596,0.001324,1.136356e-06,"0"
"29",1e-04,0.924,-0.2729,-0.0361,0.00824,0.010595,-0.001066,2.89e-06,"0"
