Date,VTI,VXUS,BND,BNDX,VUG,VTV,QQQ,XLE,RM-Rf,SMB,HML,RMW,CMA,ETH,ETH_V,BTC,BTC_V
8/10/2015,1.239611452,1.276962854,-0.208493326,-0.170274264,1.114256997,1.357504554,1.135772921,3.142694495,1.31,0.19,0.69,0.17,-0.01,-136.4290987,405283,-5.557850156,20979400
8/11/2015,-0.905078177,-1.719693276,0.379823768,0.377956303,-0.875769742,-0.879082417,-1.289984418,0.187750292,-0.98,-0.09,0.43,0.15,0.05,41.03352628,1463100,2.212268881,25433900
8/12/2015,0.102001193,-0.647513664,-0.036686497,0.018844355,0.10075482,0.035799889,0.344399191,1.801885292,0.07,-0.16,-0.31,-0.1,-0.08,13.10936476,2150620,-1.494164511,26815400
8/13/2015,-0.139131023,-0.264263831,-0.20820241,-0.056543721,-0.054958944,-0.143232886,-0.162995596,-1.528069342,-0.14,-0.43,0.08,0.14,-0.08,40.62916381,4068680,-0.865683248,27685500
8/14/2015,0.379801789,0.101720925,-0.036721676,-0.132178264,0.347431031,0.440964235,0.15394651,-0.216104879,0.43,0.14,0.43,-0.08,0.01,0.010942296,4637030,0.60405124,27091200
8/17/2015,0.635917976,-0.183170778,0.18375144,0.16987763,0.754645168,0.403521927,0.829050219,0.216104879,0.6,0.36,-0.85,-0.22,-0.37,-41.78259804,1942830,-2.942594299,21617900
8/18/2015,-0.257553225,-0.777099207,-0.18375144,-0.113233314,-0.29026229,-0.213422128,-0.512831738,-0.374844819,-0.35,-0.61,0.37,0.37,0.03,-10.18577689,1485680,-20.06341604,42147200
8/19/2015,-0.897451811,-1.011047405,0.354924549,0.169822338,-0.647064814,-0.978063645,-0.660669924,-2.797713353,-0.85,-0.2,-0.21,-0.1,-0.03,14.67389443,1486240,7.132455634,60869200
8/20/2015,-2.198697358,-2.265193641,0.085535658,0.113099239,-2.490306763,-1.887511046,-2.808522637,-2.283742426,-2.24,-0.23,0.56,0.63,0.53,15.1594084,2843760,3.751678971,32275000
8/21/2015,-2.920836465,-2.426313834,0.15854323,-0.05654222,-3.403750221,-2.887290499,-4.46893517,-3.557969144,-2.95,1.8,0.16,-0.73,0.74,-4.86983545,2020970,-1.188683815,23173800
