Oil,gold,usdi ,EAI,GDP,WorldT
29.4,419.7,118.1425,-7.30E+00,1.16E+13,1191.692
30.7,432.88,119.5487,-5.99E+00,1.16E+13,1191.692
30.05,432.88,118.6129,-6.15E+00,1.16E+13,1191.692
31.25,438.01,120.1437,-1.47E+01,1.16E+13,1191.692
31.9,412.84,120.4531,-2.18E+01,1.16E+13,1191.692
31.62,422.72,123.3272,-2.24E+01,1.16E+13,1191.692
30.53,416.24,124.1665,-2.05E+01,1.16E+13,1191.692
30.16,411.8,121.6159,-1.87E+01,1.16E+13,1191.692
29.37,393.58,122.1721,-1.42E+01,1.16E+13,1191.692
29.66,381.66,122.8288,-2.05E+01,1.16E+13,1191.692
29.94,388.34,123.4477,-1.95E+01,1.20E+13,1291.794
30.4,370.89,125.1277,-1.55E+01,1.20E+13,1291.794
30.83,385.92,121.919,-1.30E+01,1.20E+13,1291.794
30.36,394.26,121.6572,-1.07E+01,1.20E+13,1291.794
30.85,381.36,124.5262,-1.11E+01,1.20E+13,1291.794
29.54,377.4,124.6421,-1.62E+01,1.20E+13,1291.794
27.75,377.67,128.649,-1.92E+01,1.20E+13,1291.794
29.29,347.47,131.8701,-1.87E+01,1.20E+13,1291.794
29.63,347.68,130.4441,-1.68E+01,1.20E+13,1291.794
28.38,341.09,134.7512,-1.60E+01,1.20E+13,1291.794
27.54,340.17,133.2982,-1.16E+01,1.20E+13,1291.794
26.3,341.18,136.3376,-1.33E+01,1.20E+13,1291.794
25.95,320.16,137.7794,-1.54E+01,1.27E+13,1325.38
26.65,302.79,139.6997,-1.81E+01,1.27E+13,1325.38
28.15,299.1,145.7365,-1.71E+01,1.27E+13,1325.38
27.64,303.94,139.0683,-1.41E+01,1.27E+13,1325.38
27.92,325.27,139.6837,-1.65E+01,1.27E+13,1325.38
27.13,316.37,136.6803,-2.23E+01,1.27E+13,1325.38
27.23,316.49,136.1179,-3.27E+01,1.27E+13,1325.38
27.88,317.22,130.6367,-3.81E+01,1.27E+13,1325.38
28.85,329.79,130.9901,-3.26E+01,1.27E+13,1325.38
30.3,323.35,124.9059,-2.38E+01,1.27E+13,1325.38
30.42,325.84,122.8873,-2.33E+01,1.27E+13,1325.38
26.5,325.3,121.2051,-2.33E+01,1.27E+13,1325.38
19.2,321.88,120.1155,-2.44E+01,1.50E+13,1378.396
13,345.38,118.9853,-3.37E+01,1.50E+13,1378.396
11.11,338.89,113.3267,-3.60E+01,1.50E+13,1378.396
13.4,345.7,113.9387,-4.04E+01,1.50E+13,1378.396
